dataset,role,source_or_landing_page,identifier_or_doi,redistribution_note
GeoNames populated places,city cohort,https://www.geonames.org/,NA,Source data not redistributed; derived city cohort included
GEM Global Seismic Hazard Map v2023.1,seismic hazard,https://hazard.openquake.org/gem/,10.5281/zenodo.8409647,Download from official Zenodo/GEM source
USGS/topographic-slope Vs30,site-condition proxy,https://pubs.usgs.gov/of/2007/1357/,10.1785/0120060267,Download from USGS/source provider
WorldClim 2,precipitation climatology,https://www.worldclim.org/data/worldclim21.html,10.1002/joc.5086,Download from WorldClim
Fan et al. global water-table depth,baseline water-table depth,https://www.science.org/doi/10.1126/science.1229881,10.1126/science.1229881,Use source data under provider terms
CSR GRACE/GRACE-FO RL06.3 mascons,total-water-storage trend,https://www2.csr.utexas.edu/grace/RL06_mascons.html,10.1002/2016JB013007,Download from CSR; raw mascons not redistributed
NOAA CPC soil moisture,soil-moisture sensitivity,https://psl.noaa.gov/data/gridded/data.cpcsoil.html,10.1029/2003JD004345,Download from NOAA; used only as sensitivity
Natural Earth lakes,large-water-body exclusion,https://www.naturalearthdata.com/,NA,Download from Natural Earth
Natural Earth 10m coastline,coastal sensitivity diagnostic,https://www.naturalearthdata.com/,NA,Download from Natural Earth; used for R20 coastline-distance flags
JPL GRACE/GRACE-FO Mascon RL06.3Mv04 CRI-filtered,auth-protected independent mascon follow-up,https://podaac.jpl.nasa.gov/dataset/TELLUS_GRAC-GRFO_MASCON_CRI_GRID_RL06.3_V4,10.5067/TEMSC-3JC634,CMR/PO.DAAC CRI collection verified; not ingested without Earthdata credentials; no JPL-based claims made
NASA GSFC GRACE/GRACE-FO RL06v2.0 mascon,independent mascon robustness,https://earth.gsfc.nasa.gov/geo/data/grace-mascons,10.1007/s00190-019-01252-y,Downloaded locally for R21; raw NetCDF not redistributed
GFZ GravIS RL06 Continental Water Storage Anomalies V.0006,credential-free third-product TWS/leakage stress test,https://isdc-data.gfz.de/grace/GravIS/GFZ/Level-3/TWS/GRAVIS-3_GFZOP_0600_TWS_GRID_GFZ_0006.nc,10.5880/GFZ.GRAVIS_06_L3_TWS,Downloaded locally for R37; raw NetCDF not redistributed; derived city trend and leakage-stress tables included
USGS specific-yield compilation,aquifer-context S_y review priors,https://doi.org/10.3133/wsp1662D,10.3133/wsp1662D,Published report; values used only as review-prior context
JAMES specific-yield review,aquifer-context S_y review priors,https://doi.org/10.1029/2020MS002270,10.1029/2020MS002270,Published review; used only to justify bounded S_y sensitivity context
DGLS-v1: Dynamic Groundwater-Liquefaction Screening Dataset for Seismic Urban Basins,named derived-data release,https://github.com/Johnsonlijian/groundwater-liquefaction-urban-hazard/releases/tag/v0.8.0-nature-water-article-r42,GitHub release; Zenodo DOI pending,Derived outputs only; no raw third-party data included
USGS open ground-failure inventory repository,historical-event liquefaction benchmark,https://doi.org/10.5066/F7H70DB4,10.5066/F7H70DB4,Source inventories downloaded for R40; raw inventories not redistributed
Puerto Rico liquefaction inventory and nullpoints,historical-event liquefaction benchmark,https://doi.org/10.5066/P9HZRXI9,10.5066/P9HZRXI9,Source inventory and nullpoints downloaded for R40; raw shapefiles not redistributed
USGS event-page ground-failure Zhu rasters,historical-event static event screen,https://earthquake.usgs.gov/earthquakes/search/,NA,Event product rasters downloaded for R40; raw GeoTIFFs not redistributed
GHSL Urban Centre Database R2024A,urban-polygon exposure replacement,https://human-settlement.emergency.copernicus.eu/ghs_ucdb_2024.php,10.2905/1A338BE6-7EAF-480C-9664-3A8ADE88CBCD,Downloaded locally for R21; raw GPKG/zip not redistributed
Yokohama municipal groundwater monitoring,local well evidence for Tokyo Bay positive screen,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/science/data/chikasuii-jiban.html,NA,Official PDFs downloaded locally for R24; raw PDFs not redistributed; extracted derived tables included
CGWB ground water level monitoring,official monitoring-system source for Mumbai-Bhayandar follow-up,https://cgwb.gov.in/ground-water-level-monitoring,NA,Official source registered; raw station files not parsed or redistributed
Mumbai station-level groundwater study,local literature guardrail for Mumbai-Bhayandar positive screen,https://doi.org/10.1016/j.gsd.2022.100797,10.1016/j.gsd.2022.100797,DOI-verified literature source; used as evidence registry guardrail
Japan Ministry of the Environment Tokyo/Kanto Plain South FY2024,official Tokyo Bay groundwater and land-subsidence evidence,https://www.env.go.jp/water/jiban/directory/13kantouminami.html,NA,Official page and Excel downloaded locally for R25; raw Excel not redistributed; derived representative-well tables included
Tokyo Metropolitan Government Open Data 2016 land-subsidence report,official Tokyo groundwater well table,https://catalog.data.metro.tokyo.lg.jp/dataset/t000014d1700000013,NA,Official CSV resources downloaded locally for R25; raw source files not redistributed; derived table included
Tokyo Metropolitan Government Bureau of Construction 2022 land-subsidence report,official Tokyo groundwater well table,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298,NA,Official PDF downloaded locally for R25; raw PDF not redistributed; extracted audit table included
